State,PHN_code,PHN_name,Reporting_Year,Age_group,Registered_children,Fully_immunised,Not_fully_immunised,Percent_fully_immunised
VIC,PHN206,Western Victoria,2016-17,2 years,7650,7124,526,93.1
QLD,PHN301,Brisbane North,2016-17,2 years,11861,10959,902,92.4
QLD,PHN302,Brisbane South,2016-17,2 years,15381,14152,1229,92.0
QLD,PHN303,Gold Coast,2016-17,2 years,7304,6662,642,91.2
QLD,PHN304,Darling Downs and West Moreton,2016-17,2 years,7825,7248,577,92.6
QLD,PHN305,Western Queensland,2016-17,2 years,1097,1017,80,92.7
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,2 years,9772,8922,850,91.3
QLD,PHN307,Northern Queensland,2016-17,2 years,9545,8850,695,92.7
SA,PHN401,Adelaide,2016-17,2 years,14532,13177,1355,90.7
SA,PHN402,Country SA,2016-17,2 years,5409,4954,455,91.6
WA,PHN501,Perth North,2016-17,2 years,13754,12353,1401,89.8
WA,PHN502,Perth South,2016-17,2 years,13656,12213,1443,89.4
WA,PHN503,Country WA,2016-17,2 years,7344,6678,666,90.9
TAS,PHN601,Tasmania,2016-17,2 years,5868,5375,493,91.6
NT,PHN701,Northern Territory,2016-17,2 years,3727,3285,442,88.1
ACT,PHN801,Australian Capital Territory,2016-17,2 years,5761,5300,461,92.0
NSW,PHN101,Central and Eastern Sydney,2016-17,5 years,17535,16137,1398,92.0
NSW,PHN102,Northern Sydney,2016-17,5 years,11891,10834,1057,91.1
NSW,PHN103,Western Sydney,2016-17,5 years,15027,14012,1015,93.2
NSW,PHN104,Nepean Blue Mountains,2016-17,5 years,5327,5046,281,94.7
NSW,PHN105,South Western Sydney,2016-17,5 years,14740,13879,861,94.2
NSW,PHN106,South Eastern NSW,2016-17,5 years,7477,7103,374,95.0
NSW,PHN107,Western NSW,2016-17,5 years,4275,4105,170,96.0
NSW,PHN108,Hunter New England and Central Coast,2016-17,5 years,16478,15777,701,95.7
NSW,PHN109,North Coast,2016-17,5 years,6346,5747,599,90.6
