State,PHN_code,PHN_name,Reporting_Year,Age_group,Registered_children,Fully_immunised,Not_fully_immunised,Percent_fully_immunised
NSW,PHN108,Hunter New England and Central Coast,2014-15,1 year,1497,1384,113,92.4
NSW,PHN109,North Coast,2014-15,1 year,683,617,66,90.3
NSW,PHN110,Murrumbidgee,2014-15,1 year,283,261,22,92.3
VIC,PHN201,North Western Melbourne,2014-15,1 year,265,232,33,87.5
VIC,PHN202,Eastern Melbourne,2014-15,1 year,157,137,20,87.2
VIC,PHN203,South Eastern Melbourne,2014-15,1 year,162,137,25,85.1
VIC,PHN204,Gippsland,2014-15,1 year,138,113,25,81.8
VIC/NSW,PHN205,Murray,2014-15,1 year,366,313,53,85.5
VIC,PHN206,Western Victoria,2014-15,1 year,168,148,20,88.1
QLD,PHN301,Brisbane North,2014-15,1 year,503,454,49,90.3
QLD,PHN302,Brisbane South,2014-15,1 year,529,465,64,88
QLD,PHN303,Gold Coast,2014-15,1 year,154,131,23,84.6
QLD,PHN304,Darling Downs and West Moreton,2014-15,1 year,724,627,97,86.6
QLD,PHN305,Western Queensland,2014-15,1 year,326,276,50,84.7
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2014-15,1 year,813,695,118,85.5
QLD,PHN307,Northern Queensland,2014-15,1 year,1916,1663,253,86.8
SA,PHN401,Adelaide,2014-15,1 year,436,384,52,88.1
SA,PHN402,Country SA,2014-15,1 year,407,361,46,88.7
WA,PHN501,Perth North,2014-15,1 year,346,278,68,80.4
WA,PHN502,Perth South,2014-15,1 year,453,341,112,75.2
WA,PHN503,Country WA,2014-15,1 year,1214,1070,144,88.1
TAS,PHN601,Tasmania,2014-15,1 year,391,338,53,86.4
NT,PHN701,Northern Territory,2014-15,1 year,1433,1264,169,88.2
ACT,PHN801,Australian Capital Territory,2014-15,1 year,127,118,9,92.9
NSW,PHN101,Central and Eastern Sydney,2014-15,2 years,221,199,22,90
NSW,PHN102,Northern Sydney,2014-15,2 years,NP,NP,NP,88.6
NSW,PHN103,Western Sydney,2014-15,2 years,261,224,37,85.8
NSW,PHN104,Nepean Blue Mountains,2014-15,2 years,246,215,31,87.2
NSW,PHN105,South Western Sydney,2014-15,2 years,299,270,29,90.4
NSW,PHN106,South Eastern NSW,2014-15,2 years,463,398,65,85.8
NSW,PHN107,Western NSW,2014-15,2 years,828,741,87,89.5
NSW,PHN108,Hunter New England and Central Coast,2014-15,2 years,1455,1307,148,89.9
NSW,PHN109,North Coast,2014-15,2 years,637,563,74,88.3
NSW,PHN110,Murrumbidgee,2014-15,2 years,266,233,33,87.7
VIC,PHN201,North Western Melbourne,2014-15,2 years,232,198,34,85.3
VIC,PHN202,Eastern Melbourne,2014-15,2 years,135,110,25,81.5
VIC,PHN203,South Eastern Melbourne,2014-15,2 years,130,117,13,90.1
VIC,PHN204,Gippsland,2014-15,2 years,112,96,16,85.7
VIC/NSW,PHN205,Murray,2014-15,2 years,345,283,62,82
VIC,PHN206,Western Victoria,2014-15,2 years,166,147,19,88.5
QLD,PHN301,Brisbane North,2014-15,2 years,446,399,47,89.5
QLD,PHN302,Brisbane South,2014-15,2 years,587,498,89,84.9
QLD,PHN303,Gold Coast,2014-15,2 years,159,141,18,88.3
QLD,PHN304,Darling Downs and West Moreton,2014-15,2 years,730,624,106,85.5
QLD,PHN305,Western Queensland,2014-15,2 years,325,279,46,85.9
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2014-15,2 years,848,742,106,87.5
QLD,PHN307,Northern Queensland,2014-15,2 years,1966,1719,247,87.4
SA,PHN401,Adelaide,2014-15,2 years,414,342,72,82.7
SA,PHN402,Country SA,2014-15,2 years,367,307,60,83.5
WA,PHN501,Perth North,2014-15,2 years,345,265,80,76.9
WA,PHN502,Perth South,2014-15,2 years,465,374,91,80.4
WA,PHN503,Country WA,2014-15,2 years,1175,1014,161,86.3
TAS,PHN601,Tasmania,2014-15,2 years,422,355,67,84.1
NT,PHN701,Northern Territory,2014-15,2 years,1301,1155,146,88.8
ACT,PHN801,Australian Capital Territory,2014-15,2 years,124,105,19,84.7
NSW,PHN101,Central and Eastern Sydney,2014-15,5 years,224,208,16,92.9
NSW,PHN102,Northern Sydney,2014-15,5 years,NP,NP,NP,89
NSW,PHN103,Western Sydney,2014-15,5 years,236,224,12,95.2
NSW,PHN104,Nepean Blue Mountains,2014-15,5 years,186,176,10,94.7
NSW,PHN105,South Western Sydney,2014-15,5 years,262,248,14,94.7
NSW,PHN106,South Eastern NSW,2014-15,5 years,400,376,24,94
NSW,PHN107,Western NSW,2014-15,5 years,740,716,24,96.8
NSW,PHN108,Hunter New England and Central Coast,2014-15,5 years,1143,1094,49,95.7
NSW,PHN109,North Coast,2014-15,5 years,549,522,27,95.1
NSW,PHN110,Murrumbidgee,2014-15,5 years,221,212,9,95.9
VIC,PHN201,North Western Melbourne,2014-15,5 years,209,188,21,90
VIC,PHN202,Eastern Melbourne,2014-15,5 years,115,105,10,91.3
VIC,PHN203,South Eastern Melbourne,2014-15,5 years,113,101,12,89.3
VIC,PHN204,Gippsland,2014-15,5 years,109,102,7,93.6
VIC/NSW,PHN205,Murray,2014-15,5 years,276,259,17,93.8
VIC,PHN206,Western Victoria,2014-15,5 years,124,113,11,91.1
QLD,PHN301,Brisbane North,2014-15,5 years,389,364,25,93.6
QLD,PHN302,Brisbane South,2014-15,5 years,472,434,38,91.9
QLD,PHN303,Gold Coast,2014-15,5 years,183,175,8,96.1
